path,classification,finding,proposed_action
docs/FINAL_DEVELOPMENT_PLAN.md,SUPERSEDED-CANDIDATE,Legacy plan competes with ROADMAP/MASTER_PLAN,ARCHIVE-CANDIDATE
docs/GIT_WORKFLOW.md,SUPERSEDED-CANDIDATE,Root-level duplicate competes with docs/process canonical document,ARCHIVE-CANDIDATE; do not delete before link audit
docs/INDEX.md,CANONICAL,,KEEP
docs/PROJECT_OPERATING_SYSTEM.md,SUPERSEDED-CANDIDATE,Root-level duplicate competes with docs/process canonical document,ARCHIVE-CANDIDATE; do not delete before link audit
docs/acceptance/DEMONSTRATION_SCENARIOS.md,CANONICAL,,KEEP
docs/acceptance/INTERNAL_PROTOTYPE_ACCEPTANCE.md,CANONICAL,,KEEP
docs/acceptance/KNOWN_LIMITATIONS.md,CANONICAL,,KEEP
docs/acceptance/REGRESSION_CHECKLIST.md,CANONICAL,,KEEP
docs/adr/ADR-001-local-sqlite-profile.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-002-personal-accounts-and-organizational-scope.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-003-document-core-registration-and-immutability.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-004-system-signature-and-integrity.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-005-normative-registry-and-configuration-revisions.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-006-1-scalable-equipment-selector.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-006-2-repository-history-sanitization.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-006-equipment-registry-and-dispatcher-names.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-007-2-presentation-ux-and-demo-profile.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-007-3-theme-terminology-and-presentation-profile.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-007-4-organizational-structure-and-runtime-profile.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-007-management-and-supervision-registry.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-008-1-import-staging-preview.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-008-2-import-mapping-review.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-008-3-controlled-import-publication.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-008-4-typed-xlsx-cells.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-009-1-workplace-document-registry.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-1-1-approved-journal-form-contract.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-1-operational-log-core.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-2-journal-presentation-preferences.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-3-1-paged-draft-ux.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-3-1-repair2-book-layout.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-3-1-repair3-large-book.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
docs/adr/ADR-010-3-1-repair4-stable-input-lines.md,CANONICAL,"Historical baseline references are provenance, not current-head markers",KEEP IMMUTABLE/HISTORICAL
