id;контуры;официальный_акт;url;номер_официального_опубликования;дата_официального_опубликования;дата_вступления_в_силу;статус_связи;тип_доказательства;artifact_locator;что_доказывает;ограничение
N-01;"Наряд-допуск; работы по распоряжению";Приказ Минтруда России от 15.12.2020 № 903н — Правила по охране труда при эксплуатации электроустановок;https://publication.pravo.gov.ru/document/0001202012300142;0001202012300142;30.12.2020;01.01.2021;BASE ACT;NORMATIVE EVIDENCE;"Официальная публикация; текст приказа и приложения с Правилами.";Первичный источник регулирует работы по нарядам и распоряжениям, роли и документирование. Программная status machine из него автоматически не следует.;Использовать только консолидированную редакцию с подтвержденными изменениями.
N-02;"Наряд-допуск; работы по распоряжению";Приказ Минтруда России от 29.04.2022 № 279н — изменения в Правила по охране труда при эксплуатации электроустановок;https://publication.pravo.gov.ru/document/0001202206010011;0001202206010011;01.06.2022;01.09.2022;AMENDMENT TO №903н;NORMATIVE EVIDENCE;Официальная публикация приказа №279н и приложения с изменениями.;Подтверждает отдельное изменение базовых Правил №903н.;Точный эффект на поля и workflow ЭОД определяется по консолидированному тексту.
N-03;Техническая эксплуатация электроустановок потребителей;Приказ Минэнерго России от 12.08.2022 № 811 — Правила технической эксплуатации электроустановок потребителей электрической энергии;https://publication.pravo.gov.ru/document/0001202210070065;0001202210070065;07.10.2022;07.01.2023;BASE ACT — CONSUMER INSTALLATIONS;NORMATIVE EVIDENCE;Официальная публикация приказа №811 и Правил.;Отдельный нормативный контур электроустановок потребителей.;Не смешивать с Правилами для электрических станций и сетей по приказу №1070.
N-04;"Электрические станции и сети; оперативная документация; эксплуатация";Приказ Минэнерго России от 04.10.2022 № 1070 — Правила технической эксплуатации электрических станций и сетей Российской Федерации;https://publication.pravo.gov.ru/document/0001202212060056;0001202212060056;06.12.2022;06.03.2023;BASE ACT — POWER STATIONS AND GRIDS;NORMATIVE EVIDENCE;Официальная публикация приказа №1070 и приложения с Правилами.;Отдельный нормативный контур электрических станций и сетей.;"Не подменять приказом №811; использовать с перечисленными применимыми изменениями."
N-05;Электрические станции и сети;Приказ Минэнерго России от 29.11.2024 № 2321 — изменения в Правила №1070;https://publication.pravo.gov.ru/document/0001202412280117;0001202412280117;28.12.2024;"08.01.2025; пункт 7 изменений — 01.09.2025";AMENDMENT TO №1070 — 2024/2025 EFFECT;NORMATIVE EVIDENCE;"Официальная публикация приказа №2321; приказ вступил в силу 08.01.2025, пункт 7 изменений — 01.09.2025.";"Подтверждает применимое изменение Правил №1070, вступившее в силу 08.01.2025; для пункта 7 изменений установлена отдельная дата 01.09.2025.";Для каждого требования учитывать конкретную дату вступления соответствующего пункта.
N-06;"Электрические станции и сети; работа с персоналом; дистанционное управление";Приказ Минэнерго России от 09.12.2024 № 2398 — изменения в акты Минэнерго, включая Правила №1070;https://publication.pravo.gov.ru/document/0001202412280112;0001202412280112;28.12.2024;08.01.2025;AMENDMENT AFFECTING №1070 AND №796 — EFFECTIVE 08.01.2025;NORMATIVE EVIDENCE;"Официальная публикация приказа №2398 и приложений; вступление в силу 08.01.2025.";Подтверждает изменение нормативных актов Минэнерго, затрагивающее Правила №1070 и Правила работы с персоналом №796, в том числе контур дистанционного управления.;"Не переносить весь акт в workflow ЭОД; выделять только реально применимые пункты консолидированных редакций №1070 и №796."
N-07;"Электрические станции и сети; надежность энергосистем";Приказ Минэнерго России от 30.10.2025 № 1427 — изменения в акты Минэнерго, включая Правила №1070;https://publication.pravo.gov.ru/document/0001202603310024;0001202603310024;31.03.2026;11.04.2026;AMENDMENT AFFECTING №1070 — ADOPTED 2025 / EFFECTIVE 2026;NORMATIVE EVIDENCE;Официальная публикация приказа №1427 и приложений.;Подтверждает изменение Правил №1070 приказом, принятым в 2025 году и опубликованным/вступившим в силу в 2026 году.;Применимость к конкретному workflow ЭОД проверять по затронутым пунктам.
N-08;"Переключения; электрические станции и сети";Приказ Минэнерго России от 08.04.2026 № 343 — изменения в акты Минэнерго, включая Правила переключений и Правила №1070;https://publication.pravo.gov.ru/document/0001202606160005;0001202606160005;16.06.2026;27.06.2026;AMENDMENT — 2026;NORMATIVE EVIDENCE;Официальная публикация приказа №343 и приложений.;Подтверждает действующее с 27.06.2026 изменение Правил переключений и отдельных положений Правил №1070.;Нужен консолидированный текст обоих базовых актов.
N-09;"Работа с персоналом; ознакомление; подготовка";Приказ Минэнерго России от 22.09.2020 № 796 — Правила работы с персоналом в организациях электроэнергетики Российской Федерации;https://publication.pravo.gov.ru/document/0001202101180005;0001202101180005;18.01.2021;18.04.2021;BASE ACT;NORMATIVE EVIDENCE;Официальная публикация приказа №796 и приложения с Правилами.;Базовый первичный источник по работе с персоналом.;Не приравнивает автоматически электронное acknowledgement к инструктажу, проверке знаний или допуску.
N-10;"Работа с персоналом; ознакомление; подготовка";Приказ Минэнерго России от 30.11.2022 № 1271 — изменения в приказ №796;https://publication.pravo.gov.ru/document/0001202212070004;0001202212070004;07.12.2022;"Устанавливается приказом №1271; учитывать в консолидированной редакции";AMENDMENT TO №796;NORMATIVE EVIDENCE;Официальная публикация приказа №1271 и приложения с изменениями.;Исправляет ошибку v1: это изменение Правил №796, а не базовый приказ.;Иные изменения включать только после фактической проверки официальной публикации.
N-11;"Ключи; заземления; РЗА/ТМ; периодические измерения; документация рабочего места";Точечный официальный нормативный benchmark;—;—;по состоянию на 30.07.2026;—;NORMATIVE EVIDENCE GAP;NORMATIVE EVIDENCE GAP;Отдельное нормативное извлечение в рамках Repair v1.1 не выполнялось, поскольку scope ограничен исправлением доказанных ошибок.;Достаточная точечная матрица первичных норм для этих контуров пока не сформирована.;Не выводить обязательные поля и статусы из продуктов, магазинов бланков, блогов или вторичных справочных сайтов.
