capability_id,models,migrations,services,routes_views,templates_static,tests,presentation_data,status,gap
ORG-CORE,Organization; Division; Workplace; OperationalArea; Position; Employee; Role; scope/assignment/substitution; qualifications/rights,0001-0007,organizations.services,login/account/directory/employee detail,organization templates; shared shell,organization model/auth/preference/service tests,seed_demo_organization; relation seed,IMPLEMENTED-PARTIAL,Authority validity exists but action-time enforcement/snapshot absent
DOC-CORE,DocumentType; Document; Version; SignedSnapshot; Signature; Link; Audit,0001-0004,documents.services,list/create/detail/edit/register/link,documents templates,models/concurrency/signature/view tests,seed_demo_documents,IMPLEMENTED-PARTIAL,Generic immutable core; no proof it covers each operational form/lifecycle
NORMATIVE,NormativeDocument/Revision/Requirement/Trace; configuration revisions,normatives 0001; documents 0004,normatives.services,registry/document/revision,normative templates,model/service/view/localization tests,seed_demo_normatives,IMPLEMENTED-PARTIAL,No complete legal-mode matrix or PEP event taxonomy
EQUIPMENT,EnergySite; EquipmentType/Asset; name/alias/relation; document snapshots,0001-0002,equipment.services,registry/site/detail/selector,equipment templates,model/service/selector/document/view tests,seed_demo_equipment,IMPLEMENTED-ACCEPTED,Accepted foundation; industrial completeness not claimed
DISPATCH,DispatchLevel/Subject; management/supervision revisions; adjacent relations; audit,0001-0003,dispatching.services,registry/subjects/equipment detail,dispatching templates,model/service/view/seed tests,seed_demo_dispatching,IMPLEMENTED-PARTIAL,Management and supervision present; end-to-end operational workflows absent
IMPORT,Generic staging/mapping/review/publication plus power/personnel/workplace source models,0001-0008,imports services/personnel/power_system/workplace_documents,upload/review/decide/publish routes,imports templates + power review JS,broad importer/publication tests,test fixtures only; no management command,IMPLEMENTED-PARTIAL,Importer foundation is not a product module
WORKPLACE-DOCS,List/Revision/Entry/Audit; source/storage/requirement enums,0001-0002,workplace_docs.services,registry/detail/revision,workplace docs templates,model/service/view tests,seed_demo_workplace_documents,IMPLEMENTED-PARTIAL,Registry exists; schemes-specific viewing/approval/version contract not proven
OPJ,Journal/sequence; Shift/member; Draft/revisions; registered Entry/links/audit,0001-0006,operational_log.services/editor,registry/workspace/open/add/autosave/move/remove/restore/detail,specialized templates and static editor/workspace,extensive model/editor/service/view/UX tests,seed_demo_operational_log,IMPLEMENTED-PARTIAL,Draft workflow rich; registration/correction/cancellation and shift handover incomplete
DEFECT,Volume/context/action evidence/OPJ link,0001-0002,equipment_defects.services,registry/create/detail/deadline/resolution/ack/close/print,defect templates/static,lifecycle/boundary/numbering/presentation/UX tests,seed_equipment_defects,IMPLEMENTED-ACCEPTED,Accepted source-bound slice; classifiers/future slices remain
STRUCTURED-CORE,Type/revision/schema; record/participants/equipment/document/relation/revision/audit,0001,operational_documents services,type and record registry/create/edit/transition,operational_documents templates,single core test module,none,FOUNDATION-ONLY,Generic schema/lifecycle cannot be treated as approved journals
PEP-AUDIT,SignedSnapshot/DocumentSignature/AuthenticationEvent and audit events,documents 0002-0003; organizations 0001,document signature services; auth logging,registration/login surfaces,generic templates,signature/auth tests,document/org seeds,FOUNDATION-ONLY,No unified domain evidence event model; PEP/local-act scope VERIFY
PRESENTATION,Direction A shared shell; OPJ specialized surface; defect presentation,no schema,n/a,real home/defect/OPJ routes,shared and feature templates/static,source/UX/presentation tests,multiple seed commands,PRESENTATION-ONLY,"Cross-route acceptance recorded, but fixture/catalog contract incomplete"
RUNTIME,Django/PostgreSQL; preview/development Compose; trusted controller,n/a,deploy/controller scripts,health endpoint,n/a,system/health/preview and workflow gates,presentation reset/seed scripts,IMPLEMENTED-ACCEPTED,Runtime evidence only from canonical docs; Stage 1 did not touch runtime
APPLICATIONS,none specific,none,none,none,none,none,none,ABSENT,PRODUCT-D2 only roadmap/research
DISPOSITIONS,none specific,none,none,none,none,none,none,ABSENT,PRODUCT-D3 only roadmap/research
PERMIT,none specific,none,none,none,none,none,none,ABSENT,Hybrid authoring/lifecycle not implemented
WORK-REGISTERS,none specific,none,none,none,none,none,none,ABSENT,Generic core is insufficient
GROUNDING,none specific,none,none,none,none,none,none,ABSENT,Demo decision exists; implementation absent
ROUNDS,none specific,none,none,none,none,none,none,ABSENT,Deferred candidate; research only
SWITCHING,none specific,none,none,none,none,none,none,ABSENT,Manual structured contour planned; engineering automation post-demo
SCHEMES,WorkplaceDocument generic entries only,workplace 0001-0002,generic workplace docs service,generic registry/detail,generic templates,generic tests,workplace seed,FOUNDATION-ONLY,No scheme-specific type/current revision/view/print proof
REPORTING,none,none,none,home only,home presentation,system tests,seed aggregation implicit,PRESENTATION-ONLY,No derived dashboard contract
