decision_id;capability;source_ids;evidence_level;classification;canonical_eod_position;approval_status;current_work_item;verification_needed
D-01;Наряд: создание на основе шаблона/предыдущего;SRC-002,SRC-003,SRC-004,SRC-008;OFFICIAL CLAIM + VISIBLE IN UI;ADOPT;Принять для authoring: показать источник копирования и перепроверять изменяемые реквизиты;ACCEPTED_PRINCIPLE;PERMIT-AUTHORING-001;Форма, неизменяемость, перечень перепроверяемых полей
D-02;Полностью электронная подпись всех участников;SRC-004,SRC-005,SRC-006,SRC-008,SRC-009;OFFICIAL CLAIM;VERIFY;Не заявлять до нормативного решения и проверки локальных актов;VERIFY;PERMIT-LIFECYCLE-001 / NORMATIVE;Виды ЭП, доказательства действий, локальные акты
D-03;Работа по распоряжению как отдельный lifecycle;SRC-001,SRC-007;OFFICIAL CLAIM + VISIBLE IN UI;ADOPT;"Разделять документ-основание и факт выполнения; изменения только с историей";ACCEPTED_PRINCIPLE;PRODUCT-D3 / WORK-LIFECYCLE;Точные статусы, роли, локальные полномочия
D-04;Журнал учёта работ из первичных документов;SRC-001,SRC-004,SRC-005,SRC-007;OFFICIAL CLAIM;ADOPT;Формировать как производное представление, не вторую независимую базу;ACCEPTED_PRINCIPLE;WORK-REGISTER-001;Утверждённая форма и печатный контракт
D-05;SCADA-карта как обязательная точка заявки;SRC-001,SRC-016;OFFICIAL CLAIM;REJECT;"ЭОД должна полноценно работать без обязательной SCADA; интеграция — отдельная граница";REJECTED_DEPENDENCY;SCADA-INTEGRATION-DEFERRED;Будущий интерфейс интеграции
D-06;Автогенерация БП/ТБП/ТПП;SRC-001,SRC-015;OFFICIAL CLAIM + UNVERIFIED;VERIFY;"Ближайший этап — ручная структурированная последовательность, шаблоны и версии; инженерная генерация позже";VERIFY;SWITCHING-DOCUMENTS-001 / ENGINEERING-SWITCHING-LATER;Схема, топология, РЗА, ответственность
D-07;Передача смены: рапорт + активные документы + действия;SRC-001,SRC-017,SRC-019,SRC-026;OFFICIAL CLAIM + VISIBLE IN UI;ADOPT;Проектировать как отдельный workflow, а не последнюю текстовую запись;ACCEPTED_PRINCIPLE;SHIFT-HANDOVER-001;Локальный регламент, состав рапорта, роли
D-08;Дефект: отдельная карточка и workflow;SRC-001,SRC-010,SRC-011;OFFICIAL CLAIM + VISIBLE IN UI;ADOPT;"Не сводить к строке оперативного журнала; сохранять отдельный lifecycle и связи";IMPLEMENTED_ACCEPTED;DEFECT-001;Классификаторы и последующие product slices
D-09;Обход: отдельная маршрутная сущность;SRC-011,SRC-012,SRC-013,SRC-014,SRC-021,SRC-022,SRC-023;OFFICIAL CLAIM + VISIBLE IN UI;ADAPT;"Предусмотреть архитектурно; реализацию отложить; ОЖ получает результат или связь";DEFERRED;ROUNDS-001;Маршруты, точки, offline, измерения
D-10;Ключи: две стороны операции;SRC-001;OFFICIAL CLAIM + VISIBLE IN UI;ADAPT;"Различать инвентарный ключ и транзакцию выдачи/возврата; не обещать юридическую подпись";DEFERRED_VERIFY;KEYS-REFERENCE-001;Paper-first граница, правовой статус, скорость операции
D-11;Заземления только со SCADA-схемы;SRC-001;OFFICIAL CLAIM + VISIBLE IN UI;REJECT;"Будущий независимый реестр инвентарных объектов и операций установки/снятия; SCADA не обязательна";REJECTED_DEPENDENCY;GROUNDING-001;Идентификация мест установки, связь со сменой
D-12;Технические распоряжения: изменение исполнителей;SRC-001,SRC-007;OFFICIAL CLAIM + VISIBLE IN UI;ADAPT;"Изменения состава только с историей; точные роли определяются предметным контрактом";DEFERRED_VERIFY;PRODUCT-D3 / CROSS-DOCUMENT-ACTIONS;Локальные полномочия
D-13;РЗА/ТМ как универсальный журнал;;INSUFFICIENT EVIDENCE;VERIFY;Не утверждать универсальную модель до отдельного предметного исследования;VERIFY;RZA-TM-RESEARCH;Разделы, роли, источники и утверждённые формы
D-14;Ознакомление = подтверждение прочтения;SRC-001,SRC-017,SRC-020;OFFICIAL CLAIM;REJECT;Различать ознакомление, инструктаж, проверку знаний и подпись;ACCEPTED_PRINCIPLE;ACKNOWLEDGEMENT-MODEL / NORMATIVE;Нормативные основания и evidence model
D-15;Единый лёгкий слой поручений;SRC-001,SRC-017,SRC-018,SRC-020;OFFICIAL CLAIM;ADAPT;"Действие связано с источником, сроком, исполнителем и сменой; не подменяет работу/дефект";DEFERRED;CROSS-DOCUMENT-ACTIONS-001;Граница с работой, распоряжением и дефектом
D-16;Offline как MUST первого прототипа;SRC-001,SRC-013,SRC-014,SRC-022,SRC-023;OFFICIAL CLAIM;DEFER;"Не блокировать внутренний прототип; проектировать позже после модели конфликтов";DEFERRED;OFFLINE-001;Конфликты, нумерация, синхронизация, права
