decision_id,capability,disposition,candidate_module,decision_status,eod_position,repository_sources,targeted_benchmark_before_implementation,verification_gap
D-01,Наряд: создание на основе шаблона/предыдущего,ADOPT,PERMIT-AUTHORING-001,ACCEPTED_PRINCIPLE,Принять для authoring: показать источник копирования и перепроверять изменяемые реквизиты,"SRC-002,SRC-003,SRC-004,SRC-008",YES,"Форма, неизменяемость, перечень перепроверяемых полей"
D-02,Полностью электронная подпись всех участников,VERIFY,PERMIT-LIFECYCLE-001 / NORMATIVE,VERIFY,Не заявлять до нормативного решения и проверки локальных актов,"SRC-004,SRC-005,SRC-006,SRC-008,SRC-009",YES,"Виды ЭП, доказательства действий, локальные акты"
D-03,Работа по распоряжению как отдельный lifecycle,ADOPT,PRODUCT-D3 / WORK-LIFECYCLE,ACCEPTED_PRINCIPLE,Разделять документ-основание и факт выполнения; изменения только с историей,"SRC-001,SRC-007",YES,"Точные статусы, роли, локальные полномочия"
D-04,Журнал учёта работ из первичных документов,ADOPT,WORK-REGISTER-001,ACCEPTED_PRINCIPLE,"Формировать как производное представление, не вторую независимую базу","SRC-001,SRC-004,SRC-005,SRC-007",YES,Утверждённая форма и печатный контракт
D-05,SCADA-карта как обязательная точка заявки,REJECT,SCADA-INTEGRATION-DEFERRED,REJECTED_DEPENDENCY,ЭОД должна полноценно работать без обязательной SCADA; интеграция — отдельная граница,"SRC-001,SRC-016",NO,Будущий интерфейс интеграции
D-06,Автогенерация БП/ТБП/ТПП,VERIFY,SWITCHING-DOCUMENTS-001 / ENGINEERING-SWITCHING-LATER,VERIFY,"Ближайший этап — ручная структурированная последовательность, шаблоны и версии; инженерная генерация позже","SRC-001,SRC-015",YES,"Схема, топология, РЗА, ответственность"
D-07,Передача смены: рапорт + активные документы + действия,ADOPT,SHIFT-HANDOVER-001,ACCEPTED_PRINCIPLE,"Проектировать как отдельный workflow, а не последнюю текстовую запись","SRC-001,SRC-017,SRC-019,SRC-026",YES,"Локальный регламент, состав рапорта, роли"
D-08,Дефект: отдельная карточка и workflow,ADOPT,DEFECT-001,IMPLEMENTED_ACCEPTED,Не сводить к строке оперативного журнала; сохранять отдельный lifecycle и связи,"SRC-001,SRC-010,SRC-011",NO,Классификаторы и последующие product slices
D-09,Обход: отдельная маршрутная сущность,ADAPT,ROUNDS-001,DEFERRED,Предусмотреть архитектурно; реализацию отложить; ОЖ получает результат или связь,"SRC-011,SRC-012,SRC-013,SRC-014,SRC-021,SRC-022,SRC-023",YES,"Маршруты, точки, offline, измерения"
D-10,Ключи: две стороны операции,ADAPT,KEYS-REFERENCE-001,DEFERRED_VERIFY,Различать инвентарный ключ и транзакцию выдачи/возврата; не обещать юридическую подпись,SRC-001,YES,"Paper-first граница, правовой статус, скорость операции"
D-11,Заземления только со SCADA-схемы,REJECT,GROUNDING-001,REJECTED_DEPENDENCY,Будущий независимый реестр инвентарных объектов и операций установки/снятия; SCADA не обязательна,SRC-001,NO,"Идентификация мест установки, связь со сменой"
D-12,Технические распоряжения: изменение исполнителей,ADAPT,PRODUCT-D3 / CROSS-DOCUMENT-ACTIONS,DEFERRED_VERIFY,Изменения состава только с историей; точные роли определяются предметным контрактом,"SRC-001,SRC-007",YES,Локальные полномочия
D-13,РЗА/ТМ как универсальный журнал,VERIFY,RZA-TM-RESEARCH,VERIFY,Не утверждать универсальную модель до отдельного предметного исследования,NONE,YES,"Разделы, роли, источники и утверждённые формы"
D-14,Ознакомление = подтверждение прочтения,REJECT,ACKNOWLEDGEMENT-MODEL / NORMATIVE,ACCEPTED_PRINCIPLE,"Различать ознакомление, инструктаж, проверку знаний и подпись","SRC-001,SRC-017,SRC-020",NO,Нормативные основания и evidence model
D-15,Единый лёгкий слой поручений,ADAPT,CROSS-DOCUMENT-ACTIONS-001,DEFERRED,"Действие связано с источником, сроком, исполнителем и сменой; не подменяет работу/дефект","SRC-001,SRC-017,SRC-018,SRC-020",YES,"Граница с работой, распоряжением и дефектом"
D-16,Offline как MUST первого прототипа,DEFER,OFFLINE-001,DEFERRED,Не блокировать внутренний прототип; проектировать позже после модели конфликтов,"SRC-001,SRC-013,SRC-014,SRC-022,SRC-023",NO,"Конфликты, нумерация, синхронизация, права"
