source_id;product;developer;country;source_type;title;url;page_slide_timecode;accessed;evidence_mark;limitations_notes
SRC-001;СК.Журналы;АО «Монитор Электрик»;Россия;Официальная презентация;СК.Журналы — ведение технологической документации в цифровом виде;https://monitel.ru/upload/uf/549/q7b2aik57w0ecsapm02qx8cjwzedjv0d/%D0%9C%D0%BE%D0%BD%D0%B8%D1%82%D0%BE%D1%80%20%D0%AD%D0%BB%D0%B5%D0%BA%D1%82%D1%80%D0%B8%D0%BA_%D0%A1%D0%9A.%D0%96%D1%83%D1%80%D0%BD%D0%B0%D0%BB%D1%8B.pdf;слайды 3–19;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;"Основной российский предметный референс; экраны журналов и связей."
SRC-002;ДНД Наряд-Допуск ПРО;ETLPRO / ДНД;Россия;Официальная продуктовая страница и справка;ДНД Наряд-Допуск;https://www.etlpro.ru/dnd-naryad-dopusk;страница продукта и разделы справки;2026-07-29;OFFICIAL CLAIM;Локальная программа, ориентированная на подготовку и печать нарядов.
SRC-003;Наряд-минута XL;Разработчик продукта «Наряд-минута»;Россия;Официальный сайт;Наряд-минута XL;https://www.naryad-minuta.ru/;главная страница и иллюстрации интерфейса;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;"Публичная информация ограничена; workflow подтверждён частично."
SRC-004;1С:EHS КОРП;1С и партнёр-разработчик;Россия;Официальная документация;Глава 10. Наряды-допуски;https://its.1c.ru/db/ehscorp/content/195/hdoc;"глава 10; подразделы 10.1–10.10";2026-07-29;OFFICIAL CLAIM;Часть ИТС может требовать авторизацию.
SRC-005;1С:EHS КОРП;1С;Россия;Официальная документация;Электронный наряд-допуск 2.0;https://its.1c.ru/db/ehscorp/content/200/hdoc;раздел 10.5;2026-07-29;OFFICIAL CLAIM;Состав формы и настройки жизненного цикла.
SRC-006;Электронный наряд-допуск ЛОЭСК;1С / ИС ВС / ЛОЭСК;Россия;Официальный кейс;Создание программно-аппаратного комплекса «Электронный наряд-допуск»;https://solutions.1c.ru/projects/1249920/;описание проекта;2026-07-29;OFFICIAL CLAIM;"100 АРМ; мобильная графическая подпись описана в официальном кейсе."
SRC-007;Система выдачи нарядов, заданий и распоряжений АЛРОСА;1С:EHS / подрядчик;Россия;Официальный конкурсный кейс 1С;Внедрение автоматизированной системы выдачи нарядов-допусков, нарядов и заданий;https://eawards.1c.ru/projects/vnedrenie-avtomatizirovannoy-sistemy-vydachi-naryadov-dopuskov-naryadov-i-zadaniy-231625/;описание задач, интерфейсов и результатов;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Распоряжения, ПЭП, проверки обучения/предсменного осмотра, распределённая работа.
SRC-008;Комплексная производственная безопасность / ЭНД;Directum RX / EAE-Консалт;Россия;Официальная продуктовая страница;Комплексная производственная безопасность;https://www.directum.ru/solution/electronic_safety_permits;раздел «Электронные наряды-допуски»;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Пересечения работ, карта, согласование, печать, мобильные приложения.
SRC-009;Комплексная производственная безопасность;Directum RX / EAE-Консалт;Россия;Официальная презентация;Комплексная производственная безопасность;https://club.directum.ru/file/complex_security.pdf;блок ЭНД;2026-07-29;OFFICIAL CLAIM;Шаблоны, контроль квалификации, пересечения.
SRC-010;Журнал дефектов;ПАО «ТГК-1»;Россия;Официальная продуктовая страница;Цифровой комплекс «Журнал дефектов»;https://www.tgc1.ru/digital-solutions/journal/;вся страница;2026-07-29;OFFICIAL CLAIM + VISIBLE IN UI;Регистрация, сроки, повторяемость, классификация.
