decision_id;module_ids;capability_ids;disposition;targeted_benchmark
D-01;WORK-PERMIT;CAP-PERMIT-AUTHORING;ADOPT;REQUIRED_2_TO_4_SOURCES
D-02;NORMATIVE-EVIDENCE|WORK-PERMIT;CAP-NORMATIVE-PEP|CAP-PERMIT-HYBRID;VERIFY;REQUIRED_2_TO_4_SOURCES
D-03;ORDER-WORK-JOURNAL;CAP-ORDER-WORK-MIRROR;ADOPT;REQUIRED_2_TO_4_SOURCES
D-04;PERMIT-WORK-JOURNAL|ORDER-WORK-JOURNAL;CAP-PERMIT-JOURNAL-DERIVED|CAP-ORDER-WORK-MIRROR;ADOPT;REQUIRED_2_TO_4_SOURCES
D-05;APPLICATION;CAP-APPLICATION-REGISTRY;REJECT;NOT_REQUIRED
D-06;SWITCHING-DOCUMENTS;CAP-SWITCHING-DOCUMENT;VERIFY;REQUIRED_2_TO_4_SOURCES
D-07;SHIFT;CAP-SHIFT-HANDOVER;ADOPT;REQUIRED_2_TO_4_SOURCES
D-08;DEFECT;CAP-DEFECT-LIFECYCLE;ADOPT;REQUIRED_2_TO_4_SOURCES
D-09;EQUIPMENT-INSPECTIONS;CAP-INSPECTION-RESULT;ADAPT;REQUIRED_2_TO_4_SOURCES
D-10;WORKPLACE-DOCS;CAP-WORKPLACE-REGISTRY;DEFER;NOT_REQUIRED
D-11;GROUNDING;CAP-GROUNDING-PLACEMENT;REJECT;NOT_REQUIRED
D-12;ORDER-WORK-JOURNAL;CAP-ORDER-WORK-MIRROR;ADAPT;REQUIRED_2_TO_4_SOURCES
D-13;RZA-TM;CAP-RZA-EVENT;VERIFY;REQUIRED_2_TO_4_SOURCES
D-14;NORMATIVE-EVIDENCE;CAP-NORMATIVE-EVENTS;REJECT;NOT_REQUIRED
D-15;CROSS-DOC;CAP-CROSSDOC-LINK;ADAPT;REQUIRED_2_TO_4_SOURCES
D-16;PLATFORM;CAP-PLATFORM-RUNTIME;DEFER;NOT_REQUIRED
