reference_id;section_no;section_name;document_no;source_name;source_page;source_electronic_storage;source_review_period;normalized_document_class;candidate_module;coverage_class;preliminary_demo_position;decision_status;transcription_confidence;notes
REF-OD-001;1;Пожарная безопасность;1;Перечень электроустановок ОПУ напряжением до 0,4 кВ, с которых не может быть снято напряжение при пожаре;2;-;-;Перечень пожароопасных электроустановок с особыми условиями;EMERGENCY-READINESS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-002;1;Пожарная безопасность;2;Перечень электроустановок КТП и ВЭУ напряжением до 0,4 кВ, с которых не может быть снято напряжение при пожаре;2;-;-;Перечень пожароопасных электроустановок с особыми условиями;EMERGENCY-READINESS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-003;1;Пожарная безопасность;3;Бланки допуска на тушение пожара в электроустановке, находящейся под напряжением до 0,4 кВ;2;-;-;Бланк допуска на тушение пожара под напряжением;EMERGENCY-READINESS;SOURCE-BOUND-FORM;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-004;1;Пожарная безопасность;4;Бланки допуска на тушение пожара на отключённой электроустановке;2;-;-;Бланк допуска на тушение пожара на отключённой установке;EMERGENCY-READINESS;SOURCE-BOUND-FORM;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-005;1;Пожарная безопасность;5;Перечень и комплект оперативных карточек действий персонала при пожаре;2;-;-;Оперативные карточки действий при пожаре;EMERGENCY-READINESS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-006;1;Пожарная безопасность;6;Инструкция о порядке действий дежурного персонала при получении сигналов о пожаре или неисправности систем противопожарной защиты;2;-;-;Аварийная/противопожарная инструкция;WORKPLACE-DOCS;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-007;2;Охрана труда;1;Перечень электроустановок, конструкция которых не позволяет безопасно установить переносное заземление либо установка невозможна;2;+;-;Перечень ограничений установки переносных заземлений;GROUNDING;SOURCE-FOR-VALIDATION;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-008;2;Охрана труда;2;Перечень распределительных устройств с указанием необходимого сечения переносных заземлений;2;-;-;Требования к переносным заземлениям по РУ;GROUNDING;SOURCE-FOR-VALIDATION;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-009;2;Охрана труда;3;Порядок выдачи ключей от электроустановок;2;+;-;Порядок выдачи ключей;KEYS;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-010;2;Охрана труда;4;Инструкция по организации работ повышенной опасности;2;+;-;Инструкция по работам повышенной опасности;WORK-PERMIT;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-011;2;Охрана труда;5;Перечень работ, выполняемых в порядке текущей эксплуатации в электроустановках до 1000 В;2;+;-;Перечень работ ремонтного персонала в порядке текущей эксплуатации;CURRENT-OPERATION-WORKS;PRIMARY-RULESET;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-012;2;Охрана труда;6;Перечень работ, разрешённых к выполнению под напряжением на токоведущих частях в электроустановках до 1000 В;3;+;-;Перечень допустимых работ под напряжением;WORK-PERMIT;SOURCE-FOR-VALIDATION;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-013;2;Охрана труда;7;Перечень защитных средств;3;-;-;Перечень защитных средств;MASTER-DATA;REFERENCE-DOCUMENT;CANDIDATE-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-014;2;Охрана труда;8;Действующие наряды-допуски;3;-;-;Активные наряды-допуски;WORK-PERMIT;PRIMARY-DOCUMENT;DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
REF-OD-015;3;Нормальный режим;1;Инструкция по производству переключений в электроустановках;3;-;1 раз в 3 года;Инструкция по переключениям;SWITCHING;REFERENCE-DOCUMENT;POST-DEMO;TO_VERIFY_IN_PROJECT_BASELINE_001;HIGH;
