identifier;domain;severity;classification;evidence;impact;recommended_treatment;proposed_work_item;dependencies;acceptance_criteria
PSR-001;Governance;HIGH;GAP;CURRENT_STATE.md, DEMO_RELEASE_PLAN.yaml, MODULE_MAP.md и IMPLEMENTATION_SEQUENCE.md содержат несогласованные статусы принятых PERSONNEL-AUTHORITY/OPJ и очереди SHIFT;"Запуск неверного work item; потеря решений; повторное проектирование";Сверить release owner с accepted history и ввести автоматическую производность human-readable views;PROJECT-STATE-RECONCILIATION-001;PROJECT-SUSTAINABILITY-001 accepted;"Все canonical views согласованы; checker падает при расхождении; user acceptance"
PSR-002;Governance;MEDIUM;FACT/GAP;PR #49 branch создан от c57a847 и на factual preflight diverged от main 8bd895 на 3 documentation commits;Аудит или merge могут опираться на устаревшую документационную историю;"Перед финальным merge синхронизировать main обычным merge commit или доказать отсутствие content conflict; запретить stale-base final gate";PROJECT-STATE-RECONCILIATION-001;PSR-001;"PR merge base актуален; changed files conflict-free; exact-head workflows green"
PSR-003;Architecture;CRITICAL;GAP;"settings.py допускает только development/ci/preview; production или pilot mode отсутствует";"Нельзя fail-closed проверить промышленную конфигурацию; Preview ошибочно становится суррогатом production";Создать отдельный pilot/production configuration contract и mode без изменения demo semantics;DEPLOYMENT-PROFILE-001;SECURITY-BASELINE-001;"Production check проходит только с TLS/proxy/cookie/DB/secrets controls; unsafe config refuses start"
PSR-004;Modularity;CRITICAL;GAP;"Все Django apps и URL namespaces подключены глобально; универсальный module registry/manifest/scoped activation отсутствует";"Невозможно безопасно поставлять разные наборы модулей по объектам; feature leakage; ручные guards";Спроектировать control plane и затем реализовать manifest, dependencies, scoped activation и lifecycle;MODULE-ACTIVATION-CONTRACT-001 -> MODULE-REGISTRY-001;PROJECT-STATE-RECONCILIATION-001;"Два tenant/site/workplace набора активируются независимо; disable blocks writes and preserves history"
PSR-005;Modularity;HIGH;GAP;В MIDDLEWARE обнаружен специализированный EquipmentDefectRouteGuardMiddleware, но нет общего route/service/task/API guard;"Активация может контролировать UI, но не все write paths; обход через service/admin/command";Ввести единый capability predicate на route, service, command, export и admin boundaries;MODULE-REGISTRY-001;PSR-004;"Negative tests доказывают DENY для всех entry points; no hidden route after disable"
PSR-006;Architecture;HIGH;GAP;"Dependency direction описан в SYSTEM_ARCHITECTURE, но не проверяется автоматическим import rule; operational_documents напрямую связывает несколько core apps";"Рост cyclic coupling и god modules; дорогие изменения и сложная передача сопровождения";Добавить manifest/import-lint и публичные service contracts между modules;MODULE-BOUNDARY-GATES-001;PSR-004;"CI блокирует запрещённые imports; dependency graph опубликован и cycle-free"
PSR-007;Maintainability;MEDIUM;GAP;"Ruff содержит точечные ignores для крупных personnel management files; нет hotspot budget/ownership";Накопление исключений и сложность безопасного изменения;Создать maintainability inventory и ограничить рост complexity/ignore debt;REPOSITORY-MAINTAINABILITY-001;PROJECT-STATE-RECONCILIATION-001;"Hotspots имеют owners/plan; new ignores require explicit decision; complexity trend не ухудшается"
PSR-008;UX;HIGH;GAP;"Direction A coexistence допускает legacy/partial layers; OPJ acceptance потребовала неоднократных asset/CSS repairs";Overlay accumulation, stale CSS flash, browser-specific regressions;Ввести route-to-template/static inventory и strangler migration with delete evidence;LEGACY-UX-MIGRATION-001;UX-PLATFORM-FOUNDATION-001;"Для каждого migrated route известны active assets; obsolete layers removed only after tests; Edge/Chrome evidence"
PSR-009;UX;HIGH;GAP;"Playwright только optional dependency; exact-head workflows не выполняют blocking browser/visual suite";Green CI не ловит сломанные действия, stale assets, print/theme/browser defects;Создать blocking critical-route browser suite и controlled screenshot baselines;UX-BROWSER-GATES-001;UX-PLATFORM-FOUNDATION-001;Critical routes pass Edge-compatible Chromium, Chrome, themes, print and responsive gates
PSR-010;UX;MEDIUM;GAP;COMPONENT_CATALOG.md документирует primitives, но нет executable component gallery/state tests;"Компоненты дрейфуют; новые modules создают локальные варианты";Создать versioned component examples и page profile templates;UX-PLATFORM-FOUNDATION-001;PSR-008;Shared primitives have canonical markup/CSS/JS examples, states and contract tests
