profile_id;module_ids;capability_ids;demo_depths;product_target_modes;normative_evidence_status;local_act_status;proven_legal_mode;planned_work_items;current_code_statuses;acceptance_ids;post_demo_contour;open_gap
PROFILE-EMERGENCY-READINESS;EMERGENCY-READINESS;CAP-EMERGENCY-ACCESS|CAP-EMERGENCY-REVISION|CAP-EMERGENCY-CONTEXT;DEMO-REFERENCE;REFERENCE;VERIFY;VERIFY;VERIFY;EMERGENCY-READINESS-001;ABSENT;AC-EMERGENCY-ACCESS-001|AC-EMERGENCY-REVISION-001|AC-EMERGENCY-CONTEXT-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-WORKPLACE-DOCS;WORKPLACE-DOCS;CAP-WORKPLACE-REGISTRY|CAP-WORKPLACE-REVISION|CAP-WORKPLACE-COMPLETENESS|CAP-WORKPLACE-FAMILIARIZATION;DEMO-REFERENCE;REFERENCE;VERIFY;VERIFY;VERIFY;WORKPLACE-DOCS-001;IMPLEMENTED-PARTIAL;AC-WORKPLACE-REGISTRY-001|AC-WORKPLACE-REVISION-001|AC-WORKPLACE-COMPLETENESS-001|AC-WORKPLACE-FAMILIARIZATION-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-GROUNDING;GROUNDING;CAP-GROUNDING-INVENTORY|CAP-GROUNDING-PLACEMENT|CAP-GROUNDING-HANDOVER;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;GROUNDING-001;ABSENT;AC-GROUNDING-INVENTORY-001|AC-GROUNDING-PLACEMENT-001|AC-GROUNDING-HANDOVER-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-WORK-PERMIT;WORK-PERMIT;CAP-PERMIT-AUTHORING|CAP-PERMIT-HYBRID|CAP-PERMIT-PRINT;DEMO-HYBRID;HYBRID;VERIFY;VERIFY;VERIFY;WORK-PERMIT-001;ABSENT;AC-PERMIT-AUTHORING-001|AC-PERMIT-HYBRID-001|AC-PERMIT-PRINT-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-CURRENT-OPERATION-WORKS;CURRENT-OPERATION-WORKS;CAP-CURRENT-RULESET|CAP-CURRENT-SCHEDULE|CAP-CURRENT-EXECUTION|CAP-CURRENT-JOURNAL;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;CURRENT-OPERATION-WORKS-001;ABSENT;AC-CURRENT-RULESET-001|AC-CURRENT-SCHEDULE-001|AC-CURRENT-EXECUTION-001|AC-CURRENT-JOURNAL-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-MASTER-DATA;MASTER-DATA;CAP-MASTER-ORG|CAP-MASTER-EQUIPMENT|CAP-MASTER-DISPATCH;DEMO-FUNCTIONAL;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;MASTER-DATA-ALIGNMENT-001;IMPLEMENTED-PARTIAL;AC-MASTER-ORG-001|AC-MASTER-EQUIPMENT-001|AC-MASTER-DISPATCH-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-SWITCHING-DOCUMENTS;SWITCHING-DOCUMENTS;CAP-SWITCHING-TEMPLATES|CAP-SWITCHING-DOCUMENT|CAP-SWITCHING-REVIEW|CAP-SWITCHING-ARCHIVE;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;SWITCHING-DOCUMENTS-001;ABSENT;AC-SWITCHING-TEMPLATES-001|AC-SWITCHING-DOCUMENT-001|AC-SWITCHING-REVIEW-001|AC-SWITCHING-ARCHIVE-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-APPLICATION;APPLICATION;CAP-APPLICATION-REGISTRY|CAP-APPLICATION-LIFECYCLE;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;APPLICATION-001;ABSENT;AC-APPLICATION-REGISTRY-001|AC-APPLICATION-LIFECYCLE-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-OPJ;OPJ;CAP-OPJ-DRAFT|CAP-OPJ-REGISTER|CAP-OPJ-CORRECTION|CAP-OPJ-COMMUNICATION;DEMO-BOUNDED;ELECTRONIC_ORIGINAL_TARGET;VERIFY;VERIFY;VERIFY;OPJ-LIFECYCLE-001;IMPLEMENTED-PARTIAL;AC-OPJ-DRAFT-001|AC-OPJ-REGISTER-001|AC-OPJ-CORRECTION-001|AC-OPJ-COMMUNICATION-001;;Exact fields, local act and proven legal mode VERIFY.
PROFILE-SCHEMES-DOCUMENTS;SCHEMES-DOCUMENTS;CAP-SCHEMES-REGISTRY|CAP-SCHEMES-VERSIONS|CAP-SCHEMES-VIEW;DEMO-REFERENCE;REFERENCE;VERIFY;VERIFY;VERIFY;SCHEMES-DOCUMENTS-001;FOUNDATION-ONLY;AC-SCHEMES-REGISTRY-001|AC-SCHEMES-VERSIONS-001|AC-SCHEMES-VIEW-001;;Exact fields, local act and proven legal mode VERIFY.
